Region,Provider,model_id,SUM of Tokens,SUM of cost $,,,Region,SUM of Tokens,SUM of cost $,% of Tokens Consumption,% of Cost
EU,Anthropic,anthropic.claude-3-haiku-20240307-v1:0,871998,$0.22,,,EU,4630888847885,"$5,547,841.49",58.33%,59.56%
,,anthropic.claude-3-sonnet-20240229-v1:0,3206392,$14.75,,,US,3308385112118,"$3,764,579.95",41.67%,40.42%
,,claude-3-5-sonnet-20240620,31955,$0.10,,,NULL,273985456,"$1,605.29",0.003%,0.02%
,,claude-haiku-4-5-20251001,1744930063,"$1,095.12",,,Grand Total,7939547945459,"$9,314,026.74",,
,,claude-haiku-4-5@20251001,60843286371,"$37,107.25",,,,,,,
,,claude-opus-4-5-20251101,20736265133,"$21,421.57",,,Provider,SUM of Tokens,SUM of cost $,% of Tokens Consumption,% of Cost
,,claude-opus-4-5@20251101,26535480927,"$26,859.43",,,Anthropic,7684418828946,"$8,825,439.34",96.79%,94.75%
,,claude-opus-4-6,837726990874,"$968,188.36",,,OpenAI,178729919800,"$374,720.38",2.25%,4.02%
,,claude-opus-4-7,76007335824,"$101,049.93",,,Google,30441170525,"$87,389.59",0.38%,0.94%
,,claude-opus-4-8,1448528117882,"$1,741,879.84",,,Amazon,169982016,$116.53,0.00%,0.00%
,,claude-opus-5,49042790306,"$82,005.80",,,DeepSeek,57742492,$122.29,0.00%,0.00%
,,claude-sonnet-4-20250514,484700722,$316.31,,,Cohere,41669032,$5.00,0.00%,0.00%
,,claude-sonnet-4-5-20250929,8686378119,"$8,142.14",,,Meta,10044628,$6.45,0.00%,0.00%
,,claude-sonnet-4-5@20250929,15779262513,"$15,429.56",,,Mistral,6427296,$17.66,0.00%,0.00%
,,claude-sonnet-4-6,511947941184,"$450,638.21",,,Writer,122142,$0.10,0.00%,0.00%
,,claude-sonnet-5,11246614870,"$6,529.02",,,Stability AI,0,"$1,036.38",0.00%,0.01%
,,eu.anthropic.claude-3-5-sonnet-20240620-v1:0,1368951077,"$4,723.42",,,unknown,45672038582,"$25,173.03",0.58%,0.27%
,,eu.anthropic.claude-3-7-sonnet-20250219-v1:0,1460807973,"$5,016.54",,,Grand Total,7939547945459,"$9,314,026.74",,
,,eu.anthropic.claude-3-haiku-20240307-v1:0,3761326,$1.00,,,,,,,
,,eu.anthropic.claude-haiku-4-5-20251001-v1:0,33003813610,"$26,933.59",,,,,,,
,,eu.anthropic.claude-opus-4-5-20251101-v1:0,958029001,"$4,884.69",,,,,,,
,,eu.anthropic.claude-opus-4-6-v1,396359386389,"$583,550.55",,,,,,,
,,eu.anthropic.claude-opus-4-7,245207590680,"$306,415.81",,,,,,,
,,eu.anthropic.claude-opus-4-8,494873025034,"$524,948.62",,,,,,,
,,eu.anthropic.claude-opus-5,46946242814,"$58,356.01",,,,,,,
,,eu.anthropic.claude-sonnet-4-20250514-v1:0,6411559936,"$21,568.24",,,,,,,
,,eu.anthropic.claude-sonnet-4-5-20250929-v1:0,9355468863,"$21,756.39",,,,,,,
,,eu.anthropic.claude-sonnet-4-6,155407566618,"$192,550.29",,,,,,,
,,eu.anthropic.claude-sonnet-5,11123988278,"$5,770.29",,,,,,,
,,global.anthropic.claude-sonnet-4-5-20250929-v1:0,596032,$4.75,,,,,,,
,Anthropic Total,,4471794992764,"$5,217,157.83",,,,,,,
,OpenAI,ada,15562270,$1.56,,,,,,,
,,dall-e-3,0,"$2,070.40",,,,,,,
,,gpt-4,43686,$2.13,,,,,,,
,,gpt-4-0613,109145,$3.68,,,,,,,
,,gpt-4.1-2025-04-14,54358354693,"$116,297.07",,,,,,,
,,gpt-4.1-mini-2025-04-14,701988659,$339.99,,,,,,,
,,gpt-4.1-nano-2025-04-14,6941082,$1.38,,,,,,,
,,gpt-4o-2024-05-13,4565016406,"$18,570.20",,,,,,,
,,gpt-4o-2024-08-06,2831352767,"$6,951.07",,,,,,,
,,gpt-4o-2024-11-20,19379302795,"$50,722.30",,,,,,,
,,gpt-4o-mini-2024-07-18,4668028984,$731.85,,,,,,,
,,gpt-5-2025-08-07,7028888185,"$21,155.80",,,,,,,
,,gpt-5-mini-2025-08-07,6132952466,"$3,105.58",,,,,,,
,,gpt-5-nano-2025-08-07,165550623,$20.30,,,,,,,
,,gpt-5.1-2025-11-13,7758289338,"$10,916.51",,,,,,,
,,gpt-5.4-2026-03-05,586811230,"$1,256.09",,,,,,,
,,gpt-5.5-2026-04-24,2724286764,"$10,681.50",,,,,,,
,,gpt-image-1.5,17692,$1.23,,,,,,,
,,gpt-image-2-2026-04-21,788,$0.84,,,,,,,
,,o1-2024-12-17,731971688,"$19,959.34",,,,,,,
,,o3-2025-04-16,15222680,$33.76,,,,,,,
,,o3-mini-2025-01-31,76039403,$207.71,,,,,,,
,,o4-mini-2025-04-16,660438207,$779.54,,,,,,,
,,text-embedding-3-large,13555883348,"$1,762.26",,,,,,,
,,text-embedding-ada-002,449374220,$44.94,,,,,,,
,OpenAI Total,,126412427119,"$265,617.05",,,,,,,
,Google,gemini-1.5-flash-002,5357696,$0.65,,,,,,,
